		ENRC1	ENRC2	ENRC3	ENRI1	ENRI2	ENRI3
Gene: Muc2	Type_Where: goblet_crypt&villi	26.9655	26.9892	26.859	31.9374	31.7677	31.8572
Gene: Agr2	Type_Where: goblet_crypt&villi	30.089	30.2389	30.0541	31.5465	31.682	31.657
Gene: Lgr5	Type_Where: Stem_crypt	21.83456826	21.59850691	23.69689114	0	0	0
Gene: Anpep	Type_Where: Enterocyte_villi	27.7578	27.762	27.7482	31.2658	31.1117	31.2372
Gene: Hnf4g	Type_Where: Enterocyte_villi	24.7719	24.671	24.6499	27.2083	27.2831	27.2665
Gene: Krt20	Type_Where: Enterocyte_villi	28.6355	28.6339	28.4598	30.7038	30.5944	30.7136
Gene: Dclk1	Type_Where: tuft_villi	0	0	0	24.4398	24.503	24.3108
Gene: Sox9	Type_Where: tuft_villi	24.4169	25.3126	24.4091	22.6087	22.9387	22.9012
Gene: Cd44	Type_Where: Stem_crypt	27.7894	27.7782	27.6373	23.529	23.6611	23.2988
Gene: Smoc2	Type_Where: Stem_crypt	24.1056	24.0198	23.8715	22.0396	22.533	23.1187
Gene: Lrig1	Type_Where: Stem_crypt	22.2828	22.2361	22.1197	0	0	0
Gene: Gal3st2	Type_Where: goblet_crypt&villi	0	0	0	23.0397	23.2911	23.4876
Gene: Tdrd7	Type_Where: goblet_crypt&villi	0	0	0	25.7045	0	25.7333
Gene: Pck1	Type_Where: goblet_crypt&villi	0	0	0	22.9366	23.3679	23.1674
Gene: Scin	Type_Where: goblet_crypt&villi	21.062	21.3238	20.5476	30.0709	30.5081	30.0048
Gene: Zg16	Type_Where: goblet_crypt&villi	25.6145	25.8029	25.6978	32.2012	32.3439	32.2704
Gene: Bcas1	Type_Where: goblet_crypt&villi	21.3618	22.0142	22.2304	27.315	27.3582	27.5443
Gene: Clca1	Type_Where: goblet_crypt&villi	27.494	27.8105	27.5646	32.438	32.5263	32.5483
Gene: B3gnt7	Type_Where: goblet_crypt&villi	20.446	0	19.9929	23.7414	24.0355	23.9758
Gene: Klk1	Type_Where: goblet_crypt&villi	24.9983	25.0108	25.3733	28.1203	28.0714	28.0963
Gene: Rep15	Type_Where: goblet_crypt&villi	21.196	0	0	23.2399	23.1898	23.3628
Gene: Ugp2	Type_Where: goblet_crypt&villi	28.3669	28.4899	28.4067	30.1242	30.1375	29.9786
Gene: Tmprss2	Type_Where: goblet_crypt&villi	22.3179	22.2046	22.4019	24.4131	24.013	23.7686
Gene: Vimp	Type_Where: goblet_crypt&villi	22.8923	22.7235	22.912	24.8291	24.5706	24.4741
Gene: Qsox1	Type_Where: goblet_crypt&villi	26.9421	26.9665	26.8813	28.5987	28.624	28.6066
Gene: Cgref1	Type_Where: goblet_crypt&villi	24.7739	24.9232	25.1256	26.5846	26.5805	26.5091
Gene: Sytl2	Type_Where: goblet_crypt&villi	22.4606	23.1953	22.5234	23.7006	24.2003	24.1223
Gene: Chst4	Type_Where: goblet_crypt&villi	22.3424	22.2203	22.0721	23.4333	23.6767	23.5709
Gene: Galnt6	Type_Where: goblet_crypt&villi	23.1875	23.7662	24.5134	25.0431	25.061	26.2221
Gene: Fam3c	Type_Where: goblet_crypt&villi	25.3954	25.4869	25.4237	26.6931	26.5649	26.5863
Gene: Cmpk1	Type_Where: goblet_crypt&villi	28.9308	29.0045	29.1087	30.1156	30.2121	30.1517
Gene: Mgat3	Type_Where: goblet_crypt&villi	22.7737	22.5308	22.7668	23.8996	23.4875	24.0353
Gene: Golph3l	Type_Where: goblet_crypt&villi	24.591	24.7716	24.9597	25.7798	25.6475	25.7609
Gene: Pmm2	Type_Where: goblet_crypt&villi	27.6687	27.7958	27.7831	28.668	28.7621	28.7228
Gene: Scamp1	Type_Where: goblet_crypt&villi	26.5534	25.9968	25.7426	27.0474	26.9358	26.8586
Gene: Gmppb	Type_Where: goblet_crypt&villi	27.4444	27.4953	27.5464	28.3529	28.4252	28.4344
Gene: Gfpt1	Type_Where: goblet_crypt&villi	29.9217	30.0618	29.9646	30.8935	30.9292	30.8812
Gene: Gmds	Type_Where: goblet_crypt&villi	30.3884	30.5006	30.3807	31.2555	31.2451	31.2904
Gene: C2cd2l	Type_Where: goblet_crypt&villi	23.507	0	22.0325	23.6343	23.3786	23.6918
Gene: Gmppa	Type_Where: goblet_crypt&villi	26.6935	26.8484	26.7941	27.5109	27.5748	27.634
Gene: Prrc1	Type_Where: goblet_crypt&villi	25.7448	25.5608	25.8117	26.4873	26.5805	26.5159
Gene: Samhd1	Type_Where: goblet_crypt&villi	26.5826	26.8282	26.5323	27.3368	27.2997	27.3632
Gene: Cant1	Type_Where: goblet_crypt&villi	25.3386	25.3855	25.2162	26.0323	26.0564	25.9364
Gene: Gale	Type_Where: goblet_crypt&villi	28.8886	28.8845	28.7772	29.5271	29.5194	29.459
Gene: Naga	Type_Where: goblet_crypt&villi	26.5012	26.5337	26.668	27.2122	27.1068	27.1613
Gene: Arl1	Type_Where: goblet_crypt&villi	26.6009	26.7769	26.6043	27.2148	27.3004	26.9846
Gene: Stard3nl	Type_Where: goblet_crypt&villi	23.0981	23.2677	23.1719	23.6435	23.7719	23.9607
Gene: Pdxdc1	Type_Where: goblet_crypt&villi	28.5954	28.6	28.5705	29.2047	29.1953	29.1924
Gene: Slc12a9	Type_Where: goblet_crypt&villi	24.2388	24.6601	23.8708	24.8232	24.7246	24.8451
Gene: Fut8	Type_Where: goblet_crypt&villi	26.101	26.0885	26.1051	26.6577	26.7712	26.6803
Gene: Hdlbp	Type_Where: goblet_crypt&villi	30.1651	30.1413	30.1126	30.7516	30.7144	30.6886
Gene: Copg1	Type_Where: goblet_crypt&villi	29.4106	29.4893	29.4569	29.9582	30.1197	30.0025
Gene: Tsta3	Type_Where: goblet_crypt&villi	27.8321	27.8899	27.9389	28.4092	28.4225	28.521
Gene: Galk2	Type_Where: goblet_crypt&villi	26.3626	26.4629	26.4708	26.9998	26.9898	26.8841
Gene: Tom1l1	Type_Where: goblet_crypt&villi	24.3878	24.6621	24.532	25.0506	25.2172	25.0064
Gene: Nucb1	Type_Where: goblet_crypt&villi	29.9282	29.8707	29.8798	30.3316	30.4052	30.3876
Gene: Copb2	Type_Where: goblet_crypt&villi	29.6931	29.6863	29.6434	30.2636	30.1874	30.1931
Gene: Gcnt3	Type_Where: goblet_crypt&villi	24.0931	24.2179	24.0047	24.4998	24.5922	24.5842
Gene: Pgm3	Type_Where: goblet_crypt&villi	26.6954	26.9257	26.9468	27.4033	27.5611	27.4124
Gene: Vps37c	Type_Where: goblet_crypt&villi	22.8722	22.3292	22.133	22.6945	23.769	22.7897
Gene: Gne	Type_Where: goblet_crypt&villi	25.5365	25.6585	25.6054	26.0575	26.0465	25.9773
Gene: C1galt1c1	Type_Where: goblet_crypt&villi	24.5723	24.4977	24.6208	25.0823	25.0126	24.7768
Gene: Stx5	Type_Where: goblet_crypt&villi	25.7874	25.8872	25.847	26.2811	26.3072	26.2636
Gene: Rrbp1	Type_Where: goblet_crypt&villi	31.4688	31.3954	31.409	31.8474	31.7002	31.8428
Gene: Uap1	Type_Where: goblet_crypt&villi	25.9933	25.8157	25.6758	26.2418	26.4075	26.2315
Gene: Cdk5rap3	Type_Where: goblet_crypt&villi	25.5166	25.7611	25.6469	26.0691	26.1839	25.9564
Gene: Copb1	Type_Where: goblet_crypt&villi	30.0863	30.1661	30.1436	30.5062	30.5374	30.6085
Gene: Galnt4	Type_Where: goblet_crypt&villi	25.949	26.2564	25.9854	26.341	26.5423	26.3674
Gene: Yipf3	Type_Where: goblet_crypt&villi	24.1596	24.2158	23.8499	24.481	24.4248	24.5119
Gene: Capn7	Type_Where: goblet_crypt&villi	21.99	21.8759	21.9098	22.2156	22.205	22.3489
Gene: Guk1	Type_Where: goblet_crypt&villi	25.3759	25.6115	25.5372	25.8365	25.7649	25.9904
Gene: C1galt1	Type_Where: goblet_crypt&villi	24.7793	24.9725	24.5524	25.1495	25.0768	25.0337
Gene: Pygb	Type_Where: goblet_crypt&villi	28.7176	28.8436	28.8132	29.0659	29.1529	29.1052
Gene: Sec22b	Type_Where: goblet_crypt&villi	28.3396	28.4621	28.1768	28.5843	28.6204	28.7062
Gene: Galnt7	Type_Where: goblet_crypt&villi	27.5306	27.6724	27.4753	27.8108	27.8028	27.8863
Gene: Arf4	Type_Where: goblet_crypt&villi	28.3524	28.3018	28.3148	28.4771	28.6167	28.5877
Gene: Lman1	Type_Where: goblet_crypt&villi	29.1995	29.2546	29.2159	29.4845	29.3581	29.5474
Gene: Ufl1	Type_Where: goblet_crypt&villi	27.1092	27.2511	27.1138	27.3807	27.3471	27.4859
Gene: Sh3bgrl3	Type_Where: goblet_crypt&villi	25.4126	25.6307	25.9087	25.8866	25.7061	26.1443
Gene: Bet1	Type_Where: goblet_crypt&villi	24.0824	24.3171	23.9435	24.3475	24.2408	24.2867
Gene: Dnajc3	Type_Where: goblet_crypt&villi	27.4055	27.509	27.3725	27.5854	27.688	27.5778
Gene: Cog6	Type_Where: goblet_crypt&villi	23.7752	23.9503	23.9969	24.1357	24.112	24.083
Gene: Cog3	Type_Where: goblet_crypt&villi	23.646	23.7127	23.8005	23.8264	23.9669	23.8739
Gene: Trabd	Type_Where: goblet_crypt&villi	25.6557	25.7188	25.613	25.7741	25.9884	25.8147
Gene: Ddost	Type_Where: goblet_crypt&villi	30.4049	30.4282	30.2027	30.4788	30.6947	30.5608
Gene: Clptm1l	Type_Where: goblet_crypt&villi	24.6589	24.8228	24.6026	24.7969	24.8006	24.9397
Gene: Hyou1	Type_Where: goblet_crypt&villi	31.2964	31.2869	31.2949	31.4545	31.2344	31.4301
Gene: Capns1	Type_Where: goblet_crypt&villi	27.3812	27.4221	27.57	27.5092	27.675	27.5558
Gene: Rpn2	Type_Where: goblet_crypt&villi	31.2915	31.2646	31.2178	31.3168	31.534	31.3944
Gene: Dnajb11	Type_Where: goblet_crypt&villi	28.4286	28.513	28.4178	28.5262	28.5576	28.6875
Gene: Sar1a	Type_Where: goblet_crypt&villi	25.4824	25.9044	25.1919	25.6574	25.5962	25.5563
Gene: Tars	Type_Where: goblet_crypt&villi	29.5085	29.5889	29.4524	29.6189	29.5823	29.6218
Gene: Kif13a	Type_Where: goblet_crypt&villi	23.9682	24.0294	24.1934	24.0555	24.2671	24.1242
Gene: Golt1b	Type_Where: goblet_crypt&villi	24.2307	24.595	24.2839	23.5821	24.4697	24.3736
Gene: Hsp90b1	Type_Where: goblet_crypt&villi	33.0613	33.0687	32.9806	33.0704	33.1545	33.1446
Gene: Hspa5	Type_Where: goblet_crypt&villi	33.6359	33.6158	33.4654	33.6965	33.6621	33.7377
Gene: Tpd52	Type_Where: goblet_crypt&villi	29.4164	29.2371	29.3396	29.3921	29.3951	29.3819
Gene: Hspa13	Type_Where: goblet_crypt&villi	24.3828	24.0728	24.0918	24.1385	23.9306	24.1508
Gene: Mia3	Type_Where: goblet_crypt&villi	27.6337	27.5367	27.4576	27.5784	27.4324	27.6211
Gene: Slc35c1	Type_Where: goblet_crypt&villi	24.8149	25.0161	24.6808	24.8427	24.8418	24.7286
Gene: Rab27b	Type_Where: goblet_crypt&villi	26.4412	26.6175	26.3871	26.4232	26.4663	26.4865
Gene: Arfgap1	Type_Where: goblet_crypt&villi	24.7217	24.9203	24.7297	24.8935	24.7509	24.6292
Gene: Tinagl1	Type_Where: goblet_crypt&villi	22.8659	22.901	22.5675	22.887	22.8491	22.8885
Gene: Rab3d	Type_Where: goblet_crypt&villi	25.9956	26.0561	25.8694	26.0101	26.1543	26.0158
Gene: Golga5	Type_Where: goblet_crypt&villi	24.5509	24.5609	24.5914	24.767	24.5805	24.5584
Gene: Cpd	Type_Where: goblet_crypt&villi	26.5068	26.2512	26.3714	26.3835	26.3201	26.6026
Gene: Tm9sf2	Type_Where: goblet_crypt&villi	28.3788	28.5531	28.3299	28.3901	28.3901	28.4023
Gene: Syvn1	Type_Where: goblet_crypt&villi	23.1348	23.7569	23.8956	23.889	23.7295	23.7679
Gene: Ufsp2	Type_Where: goblet_crypt&villi	25.6511	25.6029	25.5994	25.6056	25.585	25.709
Gene: Stt3a	Type_Where: goblet_crypt&villi	29.2211	29.2728	29.1627	29.3034	29.2122	29.2235
Gene: Sdf2l1	Type_Where: goblet_crypt&villi	26.7196	26.7184	26.6158	26.5621	26.8288	26.7196
Gene: Slc39a11	Type_Where: goblet_crypt&villi	24.4261	24.1194	25.9633	24.7613	24.4217	24.1086
Gene: Rpn1	Type_Where: goblet_crypt&villi	32.0342	32.0724	32.0234	32.0474	31.9806	32.0194
Gene: Golm1	Type_Where: goblet_crypt&villi	29.3868	29.4274	29.3544	29.3544	29.2855	29.4092
Gene: Txndc5	Type_Where: goblet_crypt&villi	30.1968	30.0686	30.0668	29.8766	30.0331	30.0599
Gene: Uggt1	Type_Where: goblet_crypt&villi	30.181	30.1228	30.0799	30.1006	29.972	30.0869
Gene: Sec23ip	Type_Where: goblet_crypt&villi	26.7568	26.6879	26.8608	26.6446	26.7725	26.7062
Gene: Aacs	Type_Where: goblet_crypt&villi	29.2736	29.3736	29.2768	29.2093	29.2241	29.2722
Gene: Tram1	Type_Where: goblet_crypt&villi	26.045	26.3325	25.9215	25.9756	26.0693	25.9873
Gene: Ehd4	Type_Where: goblet_crypt&villi	25.5179	25.5455	25.6837	25.4754	25.5607	25.4068
Gene: Ssr1	Type_Where: goblet_crypt&villi	29.0095	28.7922	28.8506	28.9347	28.6783	28.7685
Gene: Spcs3	Type_Where: goblet_crypt&villi	27.1898	27.1337	27.1664	27.0806	27.0195	27.2168
Gene: Slc39a7	Type_Where: goblet_crypt&villi	26.4442	26.722	26.6132	26.5231	26.407	26.5199
Gene: Sec61b	Type_Where: goblet_crypt&villi	28.582	28.7251	28.5822	28.4743	28.5273	28.4345
Gene: Arfip2	Type_Where: goblet_crypt&villi	25.6037	25.6268	25.3622	25.3392	25.4927	25.5884
Gene: Gcc2	Type_Where: goblet_crypt&villi	28.0346	28.3133	28.0823	27.9145	27.9643	28.2792
Gene: Appl2	Type_Where: goblet_crypt&villi	23.1603	23.2306	23.1594	22.9639	23.038	23.1276
Gene: Spcs2	Type_Where: goblet_crypt&villi	28.4645	28.6896	28.3296	28.3487	28.2731	28.3393
Gene: Tmed2	Type_Where: goblet_crypt&villi	28.3726	28.5452	28.3158	28.2943	28.0912	28.2459
Gene: Sec23b	Type_Where: goblet_crypt&villi	28.2737	28.3574	28.3262	28.2163	28.192	28.1581
Gene: Calr	Type_Where: goblet_crypt&villi	32.9049	32.9139	32.7515	32.74	32.7573	32.8275
Gene: Pdia3	Type_Where: goblet_crypt&villi	33.641	33.584	33.5813	33.3578	33.4164	33.4124
Gene: Pdia6	Type_Where: goblet_crypt&villi	31.2262	31.0343	31.088	30.9119	30.9478	30.9143
Gene: Ier3ip1	Type_Where: goblet_crypt&villi	26.0484	26.505	26.1724	26.2822	25.9604	25.996
Gene: Pdia4	Type_Where: goblet_crypt&villi	31.8579	31.8952	31.7745	31.6538	31.6043	31.699
Gene: Tmem214	Type_Where: goblet_crypt&villi	27.0871	27.1761	27.0674	26.8769	27.1553	26.874
Gene: Yipf5	Type_Where: goblet_crypt&villi	25.0748	25.627	25.0534	24.8642	24.8022	24.9879
Gene: Tmed3	Type_Where: goblet_crypt&villi	25.1804	25.3834	25.0491	25.0114	24.9688	24.9137
Gene: Camsap3	Type_Where: goblet_crypt&villi	25.1662	25.2173	25.4384	24.9568	25.0056	25.1725
Gene: Wars	Type_Where: goblet_crypt&villi	29.7589	29.7019	29.8058	29.5306	29.4935	29.5316
Gene: Tm9sf3	Type_Where: goblet_crypt&villi	28.6764	28.7422	28.543	28.4854	28.3372	28.4346
Gene: Gnpnat1	Type_Where: goblet_crypt&villi	25.8533	25.9102	25.8473	25.2611	25.664	25.6114
Gene: Ank3	Type_Where: goblet_crypt&villi	25.238	25.4232	25.3476	25.1815	25.0949	25.0109
Gene: Srpr	Type_Where: goblet_crypt&villi	26.8992	26.9739	26.8688	26.6324	26.5945	26.7971
Gene: Ssr4	Type_Where: goblet_crypt&villi	29.5673	29.5436	29.276	29.3628	29.2724	29.2734
Gene: St3gal6	Type_Where: goblet_crypt&villi	25.4884	25.7045	25.3659	25.2064	25.0547	25.2679
Gene: Hm13	Type_Where: goblet_crypt&villi	27.8011	27.9498	27.8854	27.6	27.6921	27.5229
Gene: Slc12a8	Type_Where: goblet_crypt&villi	23.9541	24.0585	23.9213	23.6759	23.5453	23.6678
Gene: Gorasp2	Type_Where: goblet_crypt&villi	27.996	28.0119	27.9509	27.7037	27.6917	27.7196
Gene: Slc35a1	Type_Where: goblet_crypt&villi	24.2207	24.3282	24.007	23.9256	24.0177	23.8193
Gene: Slc30a7	Type_Where: goblet_crypt&villi	25.4392	25.6468	25.2403	25.1413	25.2604	25.0583
Gene: Msmo1	Type_Where: goblet_crypt&villi	26.6143	26.7167	26.2279	26.2966	26.4047	26.295
Gene: Creld2	Type_Where: goblet_crypt&villi	24.6285	24.7848	24.7505	24.4836	24.3132	24.4266
Gene: Asph	Type_Where: goblet_crypt&villi	27.5214	27.6029	27.4621	27.2579	27.072	27.1907
Gene: Syngr2	Type_Where: goblet_crypt&villi	25.9174	25.707	25.2408	25.75	25.3755	25.2543
